Tool ID,Plugin,Tool,Description,x,y,Left Join Fields,Right Join Fields,Select Fields,Spark Query
92,AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,AlteryxSelect,,476.0001,942.9999,[],[],"[{'field': 'Type', 'selected': 'True'}, {'field': 'Site', 'selected': 'True'}, {'field': 'PG', 'selected': 'True', 'rename': 'Product Group'}, {'field': 'Sum_01', 'selected': 'True', 'rename': '2019001'}, {'field': 'Sum_02', 'selected': 'True', 'rename': '2019002'}, {'field': 'Sum_03', 'selected': 'True', 'rename': '2019003'}, {'field': 'Sum_04', 'selected': 'True', 'rename': '2019004'}, {'field': 'Sum_05', 'selected': 'True', 'rename': '2019005'}, {'field': 'Sum_06', 'selected': 'True', 'rename': '2019006'}, {'field': 'Sum_07', 'selected': 'True', 'rename': '2019007'}, {'field': 'Sum_08', 'selected': 'True', 'rename': '2019008'}, {'field': 'Sum_09', 'selected': 'True', 'rename': '2019009'}, {'field': 'Sum_10', 'selected': 'True', 'rename': '2019010'}, {'field': 'Sum_11', 'selected': 'True', 'rename': '2019011'}, {'field': 'Sum_12', 'selected': 'True', 'rename': '2019012'}, {'field': 'Sum_13', 'selected': 'True', 'rename': '2019013'}, {'field': 'Sum_14', 'selected': 'True', 'rename': '2019014'}, {'field': 'Sum_15', 'selected': 'True', 'rename': '2019015'}, {'field': 'Sum_16', 'selected': 'True', 'rename': '2019016'}, {'field': 'Sum_17', 'selected': 'True', 'rename': '2019017'}, {'field': 'Sum_18', 'selected': 'True', 'rename': '2019018'}, {'field': 'Sum_19', 'selected': 'True', 'rename': '2019019'}, {'field': 'Sum_20', 'selected': 'True', 'rename': '2019020'}, {'field': 'Sum_21', 'selected': 'True', 'rename': '2019021'}, {'field': 'Sum_22', 'selected': 'True', 'rename': '2019022'}, {'field': 'Sum_23', 'selected': 'True', 'rename': '2019023'}, {'field': 'Sum_24', 'selected': 'True', 'rename': '2019024'}, {'field': 'Sum_25', 'selected': 'True', 'rename': '2019025'}, {'field': 'Sum_26', 'selected': 'True', 'rename': '2019026'}, {'field': 'Sum_27', 'selected': 'True', 'rename': '2019027'}, {'field': 'Sum_28', 'selected': 'True', 'rename': '2019028'}, {'field': 'Sum_29', 'selected': 'True', 'rename': '2019029'}, {'field': 'Sum_30', 'selected': 'True', 'rename': '2019030'}, {'field': 'Sum_31', 'selected': 'True', 'rename': '2019031'}, {'field': 'Sum_32', 'selected': 'True', 'rename': '2019032'}, {'field': 'Sum_33', 'selected': 'True', 'rename': '2019033'}, {'field': 'Sum_34', 'selected': 'True', 'rename': '2019034'}, {'field': 'Sum_35', 'selected': 'True', 'rename': '2019035'}, {'field': 'Sum_36', 'selected': 'True', 'rename': '2019036'}, {'field': 'Sum_37', 'selected': 'True', 'rename': '2019037'}, {'field': 'Sum_38', 'selected': 'True', 'rename': '2019038'}, {'field': 'Sum_39', 'selected': 'True', 'rename': '2019039'}, {'field': 'Sum_40', 'selected': 'True', 'rename': '2019040'}, {'field': 'Sum_41', 'selected': 'True', 'rename': '2019041'}, {'field': 'Sum_42', 'selected': 'True', 'rename': '2019042'}, {'field': 'Sum_43', 'selected': 'True', 'rename': '2019043'}, {'field': 'Sum_44', 'selected': 'True', 'rename': '2019044'}, {'field': 'Sum_45', 'selected': 'True', 'rename': '2019045'}, {'field': 'Sum_46', 'selected': 'True', 'rename': '2019046'}, {'field': 'Sum_47', 'selected': 'True', 'rename': '2019047'}, {'field': 'Sum_48', 'selected': 'True', 'rename': '2019048'}, {'field': 'Sum_49', 'selected': 'True', 'rename': '2019049'}, {'field': 'Sum_50', 'selected': 'True', 'rename': '2019050'}, {'field': 'Sum_51', 'selected': 'True', 'rename': '2019051'}, {'field': 'Sum_52', 'selected': 'True', 'rename': '2019052'}, {'field': 'Sites', 'selected': 'False'}, {'field': 'F2', 'selected': 'False'}, {'field': '*Unknown', 'selected': 'True'}]","val df92 = df91.selectExpr(""Type"",""Site"",""PG as Product Group"",""Sum_01 as 2019001"",""Sum_02 as 2019002"",""Sum_03 as 2019003"",""Sum_04 as 2019004"",""Sum_05 as 2019005"",""Sum_06 as 2019006"",""Sum_07 as 2019007"",""Sum_08 as 2019008"",""Sum_09 as 2019009"",""Sum_10 as 2019010"",""Sum_11 as 2019011"",""Sum_12 as 2019012"",""Sum_13 as 2019013"",""Sum_14 as 2019014"",""Sum_15 as 2019015"",""Sum_16 as 2019016"",""Sum_17 as 2019017"",""Sum_18 as 2019018"",""Sum_19 as 2019019"",""Sum_20 as 2019020"",""Sum_21 as 2019021"",""Sum_22 as 2019022"",""Sum_23 as 2019023"",""Sum_24 as 2019024"",""Sum_25 as 2019025"",""Sum_26 as 2019026"",""Sum_27 as 2019027"",""Sum_28 as 2019028"",""Sum_29 as 2019029"",""Sum_30 as 2019030"",""Sum_31 as 2019031"",""Sum_32 as 2019032"",""Sum_33 as 2019033"",""Sum_34 as 2019034"",""Sum_35 as 2019035"",""Sum_36 as 2019036"",""Sum_37 as 2019037"",""Sum_38 as 2019038"",""Sum_39 as 2019039"",""Sum_40 as 2019040"",""Sum_41 as 2019041"",""Sum_42 as 2019042"",""Sum_43 as 2019043"",""Sum_44 as 2019044"",""Sum_45 as 2019045"",""Sum_46 as 2019046"",""Sum_47 as 2019047"",""Sum_48 as 2019048"",""Sum_49 as 2019049"",""Sum_50 as 2019050"",""Sum_51 as 2019051"",""Sum_52 as 2019052"",""*Unknown"")"
25,AlteryxSpatialPluginsGui.Summarize.Summarize,Summarize,,560.0001,271.0002,[],[],[],"val df25 = df89.groupBy(""Site"", ""Product group"").agg(sum(""2019001"").alias(""Sum_2019001""), sum(""2019002"").alias(""Sum_2019002""), sum(""2019003"").alias(""Sum_2019003""), sum(""2019004"").alias(""Sum_2019004""), sum(""2019005"").alias(""Sum_2019005""), sum(""2019006"").alias(""Sum_2019006""), sum(""2019007"").alias(""Sum_2019007""), sum(""2019008"").alias(""Sum_2019008""), sum(""2019009"").alias(""Sum_2019009""), sum(""2019010"").alias(""Sum_2019010""), sum(""2019011"").alias(""Sum_2019011""), sum(""2019012"").alias(""Sum_2019012""), sum(""2019013"").alias(""Sum_2019013""), sum(""2019014"").alias(""Sum_2019014""), sum(""2019015"").alias(""Sum_2019015""), sum(""2019016"").alias(""Sum_2019016""), sum(""2019017"").alias(""Sum_2019017""), sum(""2019018"").alias(""Sum_2019018""), sum(""2019019"").alias(""Sum_2019019""), sum(""2019020"").alias(""Sum_2019020""), sum(""2019021"").alias(""Sum_2019021""), sum(""2019022"").alias(""Sum_2019022""), sum(""2019023"").alias(""Sum_2019023""), sum(""2019024"").alias(""Sum_2019024""), sum(""2019025"").alias(""Sum_2019025""), sum(""2019026"").alias(""Sum_2019026""), sum(""2019027"").alias(""Sum_2019027""), sum(""2019028"").alias(""Sum_2019028""), sum(""2019029"").alias(""Sum_2019029""), sum(""2019030"").alias(""Sum_2019030""), sum(""2019031"").alias(""Sum_2019031""), sum(""2019032"").alias(""Sum_2019032""), sum(""2019033"").alias(""Sum_2019033""), sum(""2019034"").alias(""Sum_2019034""), sum(""2019035"").alias(""Sum_2019035""), sum(""2019036"").alias(""Sum_2019036""), sum(""2019037"").alias(""Sum_2019037""), sum(""2019038"").alias(""Sum_2019038""), sum(""2019039"").alias(""Sum_2019039""), sum(""2019040"").alias(""Sum_2019040""), sum(""2019041"").alias(""Sum_2019041""), sum(""2019042"").alias(""Sum_2019042""), sum(""2019043"").alias(""Sum_2019043""), sum(""2019044"").alias(""Sum_2019044""), sum(""2019045"").alias(""Sum_2019045""), sum(""2019046"").alias(""Sum_2019046""), sum(""2019047"").alias(""Sum_2019047""), sum(""2019048"").alias(""Sum_2019048""), sum(""2019049"").alias(""Sum_2019049""), sum(""2019050"").alias(""Sum_2019050""), sum(""2019051"").alias(""Sum_2019051""), sum(""2019052"").alias(""Sum_2019052""))"
54,AlteryxSpatialPluginsGui.Summarize.Summarize,Summarize,,572.0001,942.9999,[],[],[],"val df54 = df92.groupBy(""Site"", ""Product group"").agg(sum(""2019001"").alias(""Sum_2019001""), sum(""2019002"").alias(""Sum_2019002""), sum(""2019003"").alias(""Sum_2019003""), sum(""2019004"").alias(""Sum_2019004""), sum(""2019005"").alias(""Sum_2019005""), sum(""2019006"").alias(""Sum_2019006""), sum(""2019007"").alias(""Sum_2019007""), sum(""2019008"").alias(""Sum_2019008""), sum(""2019009"").alias(""Sum_2019009""), sum(""2019010"").alias(""Sum_2019010""), sum(""2019011"").alias(""Sum_2019011""), sum(""2019012"").alias(""Sum_2019012""), sum(""2019013"").alias(""Sum_2019013""), sum(""2019014"").alias(""Sum_2019014""), sum(""2019015"").alias(""Sum_2019015""), sum(""2019016"").alias(""Sum_2019016""), sum(""2019017"").alias(""Sum_2019017""), sum(""2019018"").alias(""Sum_2019018""), sum(""2019019"").alias(""Sum_2019019""), sum(""2019020"").alias(""Sum_2019020""), sum(""2019021"").alias(""Sum_2019021""), sum(""2019022"").alias(""Sum_2019022""), sum(""2019023"").alias(""Sum_2019023""), sum(""2019024"").alias(""Sum_2019024""), sum(""2019025"").alias(""Sum_2019025""), sum(""2019026"").alias(""Sum_2019026""), sum(""2019027"").alias(""Sum_2019027""), sum(""2019028"").alias(""Sum_2019028""), sum(""2019029"").alias(""Sum_2019029""), sum(""2019030"").alias(""Sum_2019030""), sum(""2019031"").alias(""Sum_2019031""), sum(""2019032"").alias(""Sum_2019032""), sum(""2019033"").alias(""Sum_2019033""), sum(""2019034"").alias(""Sum_2019034""), sum(""2019035"").alias(""Sum_2019035""), sum(""2019036"").alias(""Sum_2019036""), sum(""2019037"").alias(""Sum_2019037""), sum(""2019038"").alias(""Sum_2019038""), sum(""2019039"").alias(""Sum_2019039""), sum(""2019040"").alias(""Sum_2019040""), sum(""2019041"").alias(""Sum_2019041""), sum(""2019042"").alias(""Sum_2019042""), sum(""2019043"").alias(""Sum_2019043""), sum(""2019044"").alias(""Sum_2019044""), sum(""2019045"").alias(""Sum_2019045""), sum(""2019046"").alias(""Sum_2019046""), sum(""2019047"").alias(""Sum_2019047""), sum(""2019048"").alias(""Sum_2019048""), sum(""2019049"").alias(""Sum_2019049""), sum(""2019050"").alias(""Sum_2019050""), sum(""2019051"").alias(""Sum_2019051""), sum(""2019052"").alias(""Sum_2019052""))"
26,AlteryxBasePluginsGui.DynamicRename.DynamicRename,DynamicRename,,656.0001,295.0,,,,val df26=df25.
55,AlteryxBasePluginsGui.DynamicRename.DynamicRename,DynamicRename,,668.0001,954.9999,,,,val df55=df54.
9,AlteryxBasePluginsGui.Formula.Formula,Formula,,752.0001,259.0,[],[],[],"val df9 = df26.withColumn(""Concat"",lit(""Site+"".""+Product group""))"
28,AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,AlteryxSelect,,752.0001,354.9999,[],[],"[{'field': '*Unknown', 'selected': 'True'}]","val df28 = df26.selectExpr(""*Unknown"")"
47,AlteryxBasePluginsGui.Formula.Formula,Formula,,764.0001,919.0001,[],[],[],"val df47 = df55.withColumn(""Concat"",lit(""Site+"".""+Product group""))"
57,AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,AlteryxSelect,,764.0001,1015.0,[],[],"[{'field': '*Unknown', 'selected': 'True'}]","val df57 = df55.selectExpr(""*Unknown"")"
27,AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,AlteryxSelect,,848.0001,259.0001,[],[],"[{'field': '*Unknown', 'selected': 'True'}]","val df27 = df9.selectExpr(""*Unknown"")"
